Date,Peche,Temperature,Debit
1979-08-23,Fermée,18.9,73.9068999595069
1979-08-24,Fermée,18.05,71.3583861677998
1979-08-25,Fermée,18.3,74.4732363576641
1979-08-26,Fermée,17.2,75.6059091539784
1979-08-27,Ouverte,16.95,74.7564045567427
1979-08-28,Ouverte,17.2,79.0039275429212
1979-08-29,Ouverte,18.6,80.4197685383141
1979-08-30,Fermée,22.25,79.5702639410784
1979-08-31,Ouverte,16.1,77.8712547466069
1979-09-01,Ouverte,15.85,79.8534321401569
1979-09-02,Ouverte,21.7,79.2870957419998
1979-09-03,Ouverte,19.75,78.1544229456855
1979-09-04,Ouverte,16.4,76.4554137512141
1979-09-05,Ouverte,14.15,76.1722455521355
1979-09-06,Ouverte,18.6,76.1722455521355
1979-09-07,Ouverte,20.25,76.1722455521355
1979-09-08,Fermée,21.4,74.7564045567427
1979-09-09,Ouverte,18.6,71.0752179687212
1979-09-10,Ouverte,13.35,69.6593769733284
1979-09-11,Ouverte,9.45,69.3762087742498
1979-09-12,Ouverte,12.8,68.8098723760927
1979-09-13,Ouverte,13.65,68.8098723760927
1979-09-14,Ouverte,13.9,69.3762087742498
1979-09-15,Ouverte,17.25,69.3762087742498
1979-09-16,Ouverte,18.3,68.8098723760927
1979-09-17,Ouverte,17.25,68.5267041770141
1979-09-18,Ouverte,17.75,67.960367778857
1979-09-19,Ouverte,14.2,65.978190385307
1979-09-20,Ouverte,15.55,63.1465083945213
1979-09-21,Ouverte,17.8,62.2970037972856
1979-09-22,Ouverte,16.1,61.4474992000498
1979-09-23,Ouverte,16.4,62.8633401954427
1979-09-24,Ouverte,15.55,64.2791811908356
1979-09-25,Ouverte,14.7,65.1286857880713
1979-09-26,Ouverte,16.1,66.5445267834641
1979-09-27,Ouverte,16.1,69.0930405751713
1979-09-28,Ouverte,15,71.0752179687212
1979-09-29,Ouverte,15.55,71.3583861677998
1979-09-30,Ouverte,14.15,68.2435359779355
1979-10-01,Ouverte,11.65,65.978190385307
1979-10-02,Ouverte,10.3,66.2613585843855
1979-10-03,Ouverte,8.9,68.2435359779355
1979-10-04,Ouverte,13.6,64.8455175889927
1979-10-05,Ouverte,18.35,68.5267041770141
1979-10-06,Ouverte,16.65,68.5267041770141
1979-10-07,Ouverte,15,67.960367778857
1979-10-08,Ouverte,4.15,67.1108631816212
1979-10-09,Ouverte,3.85,69.3762087742498
1979-10-10,Ouverte,13.35,70.5088815705641
1979-10-11,Ouverte,16.4,71.3583861677998
1979-10-12,Ouverte,13.05,71.0752179687212
1979-10-13,Ouverte,12.75,71.0752179687212
1979-10-14,Ouverte,12.5,69.6593769733284
1979-10-15,Ouverte,9.45,71.0752179687212
1979-10-16,Ouverte,10.25,81.5524413346284
1979-10-17,Ouverte,8.1,90.8969919042212
1979-10-18,Ouverte,5,93.7286738950069
1979-10-19,Ouverte,8.05,92.0296647005355
1979-10-20,Ouverte,2.2,94.295010293164
1979-10-21,Ouverte,3.3,98.259365080264
1979-10-22,Ouverte,4.2,103.356392663678
1979-10-23,Ouverte,8.9,108.170252048014
1979-10-24,Ouverte,9.45,111.851438636035
1979-10-25,Ouverte,8.6,112.98411143235
1979-10-26,Ouverte,8.9,114.399952427743
1979-10-27,Ouverte,5.25,114.399952427743
1979-10-28,Ouverte,6.1,115.815793423135
1979-10-29,Ouverte,4.45,134.7880627614
1979-10-30,Ouverte,0,120.346484608393
1979-10-31,Ouverte,-1.35,123.461334798257
1980-04-01,Ouverte,-0.25,107.320747450778
1980-04-02,Ouverte,1.4,110.718765839721
1980-04-03,Ouverte,3.05,113.267279631428
1980-04-04,Ouverte,3.9,112.700943233271
1980-04-05,Ouverte,6.7,110.718765839721
1980-04-06,Ouverte,4.45,112.98411143235
1980-04-07,Ouverte,2.5,116.665298020371
1980-04-08,Ouverte,2.2,117.797970816685
1980-04-09,Ouverte,5.8,116.94846621945
1980-04-10,Ouverte,5,114.683120626821
1980-04-11,Ouverte,5.3,112.98411143235
1980-04-12,Ouverte,5,112.417775034193
1980-04-13,Ouverte,9.45,112.417775034193
1980-04-14,Ouverte,10.85,115.249457024978
1980-04-15,Ouverte,9.75,120.91282100655
1980-04-16,Ouverte,9.45,120.063316409314
1980-04-17,Ouverte,12.25,126.293016789043
1980-04-18,Ouverte,14.7,132.80588536785
1980-04-19,Ouverte,15,143.283108733757
1980-04-20,Ouverte,16.65,161.689041673864
1980-04-21,Ouverte,15.3,197.085066558685
1980-04-22,Ouverte,12.2,234.746437036135
1980-04-23,Ouverte,14.15,263.912761541228
1980-04-24,Ouverte,15,265.611770735699
1980-04-25,Ouverte,15,253.435538175321
1980-04-26,Ouverte,13.6,270.425630120035
1980-04-27,Ouverte,14.7,278.920676092392
1980-04-28,Ouverte,15.85,272.407807513585
1980-04-29,Ouverte,15.85,267.310779930171
1980-04-30,Ouverte,8.35,269.576125522799
1980-05-01,Ouverte,13.05,285.999881069356
1980-05-02,Ouverte,14.7,297.326609032499
1980-05-03,Ouverte,11.1,281.469189884099
1980-05-04,Ouverte,12.8,279.487012490549
